generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
206,180,0.10296028852462769,0.13261887431144714,8.952116012573242,0.10296028852462769
207,180,0.10438847541809082,0.11958780884742737,7.278501033782959,0.10438847541809082
208,180,0.10338032245635986,0.11995869874954224,9.722474098205566,0.10338032245635986
209,180,0.10412728786468506,0.17575529217720032,12.584676742553711,0.10412728786468506
210,180,0.10457468032836914,0.13655555248260498,8.016749382019043,0.10457468032836914
211,180,0.10020303726196289,0.11374688148498535,9.712374687194824,0.10020303726196289
212,180,0.10036760568618774,0.11497434973716736,9.344866752624512,0.10036760568618774
213,180,0.10143846273422241,0.14017030596733093,7.6454572677612305,0.10143846273422241
214,180,0.10031098127365112,0.13988667726516724,7.395783424377441,0.10031098127365112
215,180,0.10076451301574707,0.12662026286125183,12.998594284057617,0.10076451301574707
216,180,0.09851998090744019,0.1250302493572235,11.047945976257324,0.09851998090744019
217,180,0.0992511510848999,0.1437845528125763,9.481795310974121,0.0992511510848999
218,180,0.09760046005249023,0.1337808072566986,10.267414093017578,0.09760046005249023
219,180,0.10134994983673096,0.14386531710624695,9.437399864196777,0.10134994983673096
220,180,0.10124379396438599,0.13905799388885498,18.199148178100586,0.10124379396438599
221,180,0.09794682264328003,0.1572543978691101,3.3744559288024902,0.09794682264328003
222,180,0.10382813215255737,0.15968585014343262,6.578888416290283,0.10382813215255737
223,180,0.09805458784103394,0.1309114396572113,8.432415962219238,0.09805458784103394
224,180,0.1007261872291565,0.16566938161849976,6.625821590423584,0.1007261872291565
225,180,0.09755122661590576,0.15325745940208435,5.253929138183594,0.09755122661590576
226,180,0.09807777404785156,0.1396341621875763,2.4093453884124756,0.09807777404785156
227,180,0.09751754999160767,0.11548507213592529,2.549708843231201,0.09751754999160767
228,180,0.09826016426086426,0.11914768815040588,11.785282135009766,0.09826016426086426
229,180,0.09784913063049316,0.1487133502960205,10.884771347045898,0.09784913063049316
230,180,0.09769183397293091,0.1478429138660431,13.831771850585938,0.09769183397293091
231,180,0.09980446100234985,0.13576242327690125,11.585926055908203,0.09980446100234985
232,180,0.09833520650863647,0.13117018342018127,15.499812126159668,0.09833520650863647
233,180,0.09811419248580933,0.14760231971740723,17.690284729003906,0.09811419248580933
234,180,0.0996866226196289,0.14174848794937134,11.629066467285156,0.0996866226196289
235,180,0.0976300835609436,0.14964091777801514,11.928716659545898,0.0976300835609436
236,180,0.09954482316970825,0.13051369786262512,12.440505981445312,0.09954482316970825
237,180,0.09747624397277832,0.11648988723754883,12.537301063537598,0.09747624397277832
238,180,0.0975179672241211,0.1473710834980011,14.229696273803711,0.0975179672241211
239,180,0.09649169445037842,0.1455720067024231,11.995869636535645,0.09649169445037842
240,180,0.09754526615142822,0.3507344126701355,12.361806869506836,0.09754526615142822
241,180,0.09710705280303955,0.3872438669204712,12.470085144042969,0.09710705280303955
242,180,0.0973365306854248,0.16363006830215454,8.748340606689453,0.0973365306854248
243,180,0.09758162498474121,0.15494275093078613,10.423952102661133,0.09758162498474121
244,180,0.09761196374893188,0.16467741131782532,12.281285285949707,0.09761196374893188
245,180,0.09745174646377563,0.5964197814464569,9.419745445251465,0.09745174646377563
246,180,0.09818100929260254,0.3675461411476135,11.754210472106934,0.09818100929260254
247,180,0.09666895866394043,0.30221375823020935,9.114023208618164,0.09666895866394043
248,180,0.09685999155044556,0.4478786885738373,9.669601440429688,0.09685999155044556
249,180,0.09790199995040894,0.4142146110534668,12.20097827911377,0.09790199995040894
250,180,0.0962439775466919,0.5242343246936798,10.345854759216309,0.0962439775466919
251,180,0.09607201814651489,0.1300862431526184,2.7084741592407227,0.09607201814651489
252,180,0.09620398283004761,0.39050960540771484,10.549351692199707,0.09620398283004761
253,180,0.0964168906211853,0.3434787392616272,11.170916557312012,0.0964168906211853
254,180,0.09504926204681396,0.14143028855323792,12.38697624206543,0.09504926204681396
255,180,0.09651505947113037,0.588275283575058,12.251058578491211,0.09651505947113037
256,180,0.09522861242294312,0.16956594586372375,11.044926643371582,0.09522861242294312
